,Unnamed: 0,year,Unnamed: 0.1,user_id,username,date,time,tweet,text,manual,textblob,nltk_tweet,sent140,emoticon,James Harden,LeBron James,Giannis Antetokounmpo,Anthony Davis,Luka Doncic,Trae Young,Nikola Jokic,Russell Westbrook,Kawhi Leonard,Chris Paul,Devin Booker,Khris Middleton,Bam Adebayo,Jayson Tatum,Kemba Walker,Jimmy Butler,Ben Simmons,Joel Embiid,Domantas Sabonis,Brandon Ingram,Pascal Siakam,Rudy Gobert,Donovan Mitchell,Kyle Lowry,Damian Lillard,DeMar DeRozan,Isaiah Thomas,John Wall,LaMarcus Aldridge,Paul George,Stephen Curry,Victor Oladipo
0,109090,2020,109090,21735948,detnewsrodbeard,1/3/2020,10:08:10,"For what it's worth, #Pistons Dwane Casey says Blake Griffin and Bruce Brown are game-time decisions for tonight at #Clippers.
#DFS",for what it be worth pistons dwane casey say blake griffin and bruce brown be game time decision for tonight at clipper dfs,1,-0.05000000000000002,1,-0.073791444,-0.1054165299947365,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,597861,2020,597861,209716158,pompeyonsixers,2/23/2020,19:25:32,"Sixers lose to Bucks, 119-98, as Ben Simmons leaves early and Giannis scores 31 points  https://www.inquirer.com/sixers/philadelphia-sixers-milwaukee-bucks-ben-simmons-joel-embiid-tobias-harris--20200223.html?__vfz=medium%3Dsharebar???? via @phillyinquirer",sixer lose to buck as ben simmons leave early and giannis score point via phillyinquirer,-1,0.1,1,0.403312445,0.09310573689967416,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,354080,2018,354080,15966106,yourmandevine,4/19/2018,0:21:30,"When the Pelicans traded for Mirotic, I wrote that they were making a play to save their season ?????  https://yhoo.it/2DSTh3Q?? ????? not because he'd be dominant, but because he?????d create space for AD (and to a lesser extent Jrue) to be. (1/2)",when the pelican trade for mirotic write that they be make play to save their season not because he would be dominant but because hed create space for ad and to less extent jrue to be,1,-0.16666666666666666,-1,-0.547612041,0.723919958641118,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,298446,2017,298446,50721809,timbontemps,4/23/2017,9:45:34,"Column: These playoffs were supposed to be different for Toronto. Instead, the same doubts about the Raptors remain.  http://www.washingtonpost.com/news/sports/wp/2017/04/22/this-year-was-supposed-to-be-different-for-the-toronto-raptors-instead-its-more-of-the-same/????",column these playoff be suppose to be different for toronto instead the same doubt about the raptor remain,-1,0.0,-1,0.281488061,0.271633621978445,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,429812,2019,429812,30070994,christopherhine,2/14/2019,10:40:19,Okogie brings the crowd to their feet as he stuffs Harden on a shot-clock violation.,okogie bring the crowd to their foot as he stuff harden on shot clock violation,-1,0.0,1,0.747817993,-0.4430431352399965,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,149271,2019,149271,51189656,nypost_berman,12/17/2018,2:47:38,John Sterling back where he belongs calling #Nets basketball today. Hopefully will break out his ??Bullseye?? radio call that was best part of Nets of the 1970??s.,john sterling back where he belong call net basketball today hopefully will break out his bullseye radio call that be good part of net of the,1,0.175,1,0.025702596,-0.5462785660743982,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,396526,2019,396526,21528745,andyblarsen,1/31/2019,10:36:39,"I think it is full stop very good news for the Jazz, unless Meyers Leonard or Zach Collins have like 5/7 3-point nights",think it be full stop very good news for the jazz unless meyers leonard or zach collins have like point night,1,0.6299999999999999,1,0.790189147,0.4079277641027186,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,50009,2019,50009,57710919,chrisbhaynes,1/17/2019,0:41:05,"The reigning Defensive Player of the Year @RudyGobert27 joins the ??Posted Up?? podcast. Touches on blocking dunks, trash talking, slapping cups, his All-Star case, big men in today??s NBA, his future and much more.

????:  https://itunes.apple.com/us/podcast/posted-up-with-chris-haynes/id1446252794?mt=2&i=1000427703119???? pic.twitter.com/CzXFvYrnAx",the reign defensive player of the year rudygobert27 join the post up podcast touch on block dunk trash talking slap cup his all star case big man in today nba his future and much more pictwittercomczxfvyrnax,0,0.16666666666666666,1,-0.8468000290000001,-0.8651550881284397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8,246656,2017,246656,17345647,talkhoops,1/20/2017,9:32:51,gotcha. I read it wrong. My bad. I agree but I also don?????t think it?????s a market thing. I think it?????s a system confusion thing,gotcha read it wrong my bad agree but also dont think its market thing think its system confusion thing,-1,-0.5999999999999999,1,0.478966355,0.7572298568469067,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,472735,2019,472735,67431944,greglogan1,11/13/2018,14:54:08,"Kenny Atkinson called @CarisLeVert ""heart & soul of program, @Dloading said he tried unsuccesfully to erase vision of grotesque LeVert injury from memory & @joeharrisbball said @BrooklynNets were ""crying"" at halftime. Tough all-around in loss to #TWolves:  https://is.gd/yMe6S5??.",kenny atkinson call carislevert heart soul of program dloading say he try unsuccesfully to erase vision of grotesque levert injury from memory joeharrisbball say brooklynnet be cry at halftime tough all around in loss to twolves,-1,-0.46944444444444444,-1,-0.8379248229999999,0.7881086285538736,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
